"Data;Último;Var%";
"29.7.2019;103.483;0,65%";
"29.7.2016;57.308;1,13%";
"29.7.2015;50.245;1,3%";
"29.7.2014;57.119;-1%";
"29.7.2013;49.212;-0,42%";
"29.7.2011;58.823;0,2%";
"29.7.2010;66.954;0,22%";
"29.7.2009;53.735;-1,35%";
"29.7.2008;58.043;2,06%";
"29.7.2005;26.042;-0,1%";
"29.7.2004;22.228;0,27%";
"29.7.2003;13.623;-0,15%";
"29.7.2002;9.240;0,25%";
"29.7.1999;10.568;-1,15%";
"29.7.1998;10.542;2,17%";
"29.7.1997;13.044;0,82%";
"29.7.1996;5.909;-0,99%";
"29.6.2023;118.383;1,46%";
"29.6.2022;99.622;-0,96%";
"29.6.2021;127.327;-0,08%";
"29.6.2020;95.735;2,03%";
"29.6.2018;72.763;1,39%";
"29.6.2017;62.239;0,36%";
"29.6.2016;51.002;1,99%";
"29.6.2015;53.014;-1,86%";
"29.6.2012;54.355;3,23%";
"29.6.2011;62.334;0,05%";
"29.6.2010;61.978;-3,5%";
"29.6.2009;52.138;1,27%";
"29.6.2007;54.392;0,45%";
"29.6.2006;36.487;4,74%";
"29.6.2005;25.126;-0,53%";
"29.6.2004;20.801;2,21%";
"29.6.2001;14.560;1,17%";
"29.6.2000;16.407;-2,58%";
"29.6.1999;11.379;1,02%";
"29.6.1998;9.604;1,48%";
"29.6.1995;3.678;-1%";
"29.5.2023;110.333;-0,52%";
"29.5.2020;87.403;0,52%";
"29.5.2019;96.567;0,18%";
"29.5.2018;76.072;0,95%";
"29.5.2017;63.761;-0,51%";
"29.5.2015;52.760;-2,25%";
"29.5.2014;52.239;-0,76%";
"29.5.2013;54.635;-2,5%";
"29.5.2012;54.633;-1,05%";
"29.5.2009;53.198;0,3%";
"29.5.2008;71.798;-1,85%";
"29.5.2007;51.713;-0,78%";
"29.5.2006;38.145;-1,26%";
"29.5.2003;13.405;0,83%";
"29.5.2002;12.985;2,02%";
"29.5.2001;14.454;1,06%";
"29.5.2000;14.773;1,59%";
"29.5.1998;9.847;-3%";
"29.5.1996;5.626;-1,49%";
"29.5.1995;3.896;-0,23%";
"29.4.2022;107.876;-1,86%";
"29.4.2021;120.066;-0,82%";
"29.4.2020;83.171;2,29%";
"29.4.2019;96.188;-0,05%";
"29.4.2016;53.911;-0,74%";
"29.4.2015;55.325;-0,87%";
"29.4.2014;51.839;0,89%";
"29.4.2013;54.887;1,17%";
"29.4.2011;66.133;0,7%";
"29.4.2010;67.978;1,98%";
"29.4.2009;47.227;3,07%";
"29.4.2008;63.826;-2,82%";
"29.4.2005;24.844;1,65%";
"29.4.2004;19.865;-2,97%";
"29.4.2003;12.678;1,73%";
"29.4.2002;13.090;0,11%";
"29.4.1999;11.085;-0,38%";
"29.4.1998;11.528;1,33%";
"29.4.1997;9.858;0,98%";
"29.4.1996;5.149;0,12%";
"29.3.2023;101.793;0,6%";
"29.3.2022;120.014;1,07%";
"29.3.2021;115.419;0,56%";
"29.3.2019;95.415;1,09%";
"29.3.2018;85.366;1,78%";
"29.3.2017;65.528;1,37%";
"29.3.2016;51.155;0,62%";
"29.3.2012;64.872;-0,32%";
"29.3.2011;67.419;0,34%";
"29.3.2010;69.939;1,83%";
"29.3.2007;45.355;1,96%";
"29.3.2006;37.492;2,21%";
"29.3.2005;25.842;-1,58%";
"29.3.2004;21.531;-0,05%";
"29.3.2001;14.282;-2,39%";
"29.3.2000;18.053;-1,55%";
"29.3.1999;10.869;0,04%";
"29.3.1996;4.955;-0,5%";
"29.3.1995;3.198;-1,78%";
"29.2.2016;42.794;2,89%";
"29.2.2012;65.812;-0,22%";
"29.2.2008;63.489;-3,15%";
"29.2.2000;17.660;0,67%";
"29.2.1996;4.958;-4,64%";
"29.1.2021;115.068;-3,21%";
"29.1.2020;115.385;-0,94%";
"29.1.2019;95.639;0,2%";
"29.1.2018;84.698;-0,97%";
"29.1.2016;40.406;4,6%";
"29.1.2015;47.762;0,14%";
"29.1.2014;47.557;-0,59%";
"29.1.2013;60.406;0,63%";
"29.1.2010;65.402;-0,28%";
"29.1.2009;39.638;-1,46%";
"29.1.2008;59.530;1,6%";
"29.1.2007;43.573;-1,89%";
"29.1.2004;22.386;-6,15%";
"29.1.2003;10.863;3,29%";
"29.1.2002;12.501;-3,85%";
"29.1.2001;17.883;-0,03%";
"29.1.1999;8.171;2,3%";
"29.1.1998;9.786;0,13%";
"29.1.1997;7.737;-1,44%";
"29.1.1996;4.935;0,55%";
"28.12.2022;110.237;1,53%";
"28.12.2021;104.864;-0,65%";
"28.12.2020;119.124;1,12%";
"28.12.2018;87.887;2,84%";
"28.12.2017;76.402;0,43%";
"28.12.2016;59.782;1,85%";
"28.12.2015;43.764;-0,57%";
"28.12.2012;60.952;0,89%";
"28.12.2011;56.534;-2,54%";
"28.12.2010;68.041;0,35%";
"28.12.2009;67.902;0,46%";
"28.12.2007;63.886;0,18%";
"28.12.2006;44.474;-0,12%";
"28.12.2005;33.138;-0,7%";
"28.12.2004;26.117;0,69%";
"28.12.2001;13.578;-1,29%";
"28.12.2000;15.259;0,48%";
"28.12.1999;16.377;2,29%";
"28.12.1998;6.899;-3,86%";
"28.12.1995;4.299;-1,08%";
"28.11.2023;126.538;0,64%";
"28.11.2022;108.782;-0,18%";
"28.11.2019;108.290;0,54%";
"28.11.2018;89.251;1,55%";
"28.11.2017;74.140;0,11%";
"28.11.2016;62.855;2,11%";
"28.11.2014;54.724;0,01%";
"28.11.2013;51.847;-0,03%";
"28.11.2012;56.539;0,52%";
"28.11.2011;56.017;2,05%";
"28.11.2008;36.596;1,06%";
"28.11.2007;61.715;3,84%";
"28.11.2006;41.043;0,31%";
"28.11.2005;31.358;-1,76%";
"28.11.2003;20.184;1,12%";
"28.11.2002;10.239;0,13%";
"28.11.2001;13.019;-4,29%";
"28.11.2000;13.914;-0,67%";
"28.11.1997;9.395;-2,33%";
"28.11.1996;6.645;0,8%";
"28.11.1995;4.050;-1,34%";
"28.10.2022;114.539;-0,09%";
"28.10.2021;105.705;-0,62%";
"28.10.2020;95.369;-4,25%";
"28.10.2019;108.187;0,77%";
"28.10.2016;64.308;0,09%";
"28.10.2015;46.741;-0,64%";
"28.10.2014;52.330;3,62%";
"28.10.2013;55.073;1,7%";
"28.10.2011;59.513;0,41%";
"28.10.2010;70.320;-0,35%";
"28.10.2009;60.162;-4,75%";
"28.10.2008;33.387;13,43%";
"28.10.2005;29.318;0,64%";
"28.10.2004;22.928;-1,05%";
"28.10.2003;18.228;2,69%";
"28.10.2002;9.574;-4,4%";
"28.10.1999;11.700;1,47%";
"28.10.1998;6.827;-0,61%";
"28.10.1997;10.447;6,42%";
"28.10.1996;6.401;-1,57%";
"28.9.2023;115.731;1,23%";
"28.9.2022;108.451;0,07%";
"28.9.2021;110.124;-3,05%";
"28.9.2020;94.666;-2,41%";
"28.9.2018;79.342;-0,82%";
"28.9.2017;73.567;-0,31%";
"28.9.2016;59.356;1,67%";
"28.9.2015;43.957;-1,95%";
"28.9.2012;59.176;-1,77%";
"28.9.2011;53.270;-1,21%";
"28.9.2010;69.228;0,6%";
"28.9.2009;61.317;1,59%";
"28.9.2007;60.465;-0,96%";
"28.9.2006;36.486;1,05%";
"28.9.2005;31.317;1,43%";
"28.9.2004;23.231;1,74%";
"28.9.2001;10.636;2,22%";
"28.9.2000;16.014;1,05%";
"28.9.1999;11.442;-0,87%";
"28.9.1998;6.827;1,71%";
"28.9.1995;4.567;0,42%";
"28.8.2023;117.121;1,11%";
"28.8.2020;102.143;1,51%";
"28.8.2019;98.194;0,94%";
"28.8.2018;77.473;-0,59%";
"28.8.2017;71.017;-0,08%";
"28.8.2015;47.154;-1,18%";
"28.8.2014;60.291;-1,08%";
"28.8.2013;49.867;-0,45%";
"28.8.2012;58.406;0,51%";
"28.8.2009;57.701;-0,01%";
"28.8.2008;56.382;1,55%";
"28.8.2007;51.645;-2,7%";
"28.8.2006;36.375;1,16%";
"28.8.2003;15.065;-0,52%";
"28.8.2002;10.380;0,08%";
"28.8.2001;13.018;0,17%";
"28.8.2000;17.460;-1,04%";
"28.8.1998;6.746;1,95%";
"28.8.1997;11.267;-3,86%";
"28.8.1996;6.295;2,76%";
"28.8.1995;4.515;1,26%";
"28.7.2023;120.187;0,16%";
"28.7.2022;102.597;1,14%";
"28.7.2021;126.286;1,34%";
"28.7.2020;104.109;-0,35%";
"28.7.2017;65.497;0,34%";
"28.7.2016;56.667;-0,33%";
"28.7.2015;49.602;1,78%";
"28.7.2014;57.696;-0,22%";
"28.7.2011;58.708;0,72%";
"28.7.2010;66.808;0,2%";
"28.7.2009;54.472;-0,14%";
"28.7.2008;56.869;-0,58%";
"28.7.2006;37.381;1,34%";
"28.7.2005;26.068;2,88%";
"28.7.2004;22.168;1,98%";
"28.7.2003;13.643;-0,78%";
"28.7.2000;16.486;-2,73%";
"28.7.1999;10.691;-0,41%";
"28.7.1998;10.318;-2,33%";
"28.7.1997;12.938;3,31%";
"28.7.1995;3.888;-0,64%";
"28.6.2023;116.681;-0,72%";
"28.6.2022;100.591;-0,17%";
"28.6.2021;127.429;0,14%";
"28.6.2019;100.967;0,24%";
"28.6.2018;71.767;1,64%";
"28.6.2017;62.018;0,56%";
"28.6.2016;50.007;1,55%";
"28.6.2013;47.457;-0,32%";
"28.6.2012;52.652;-0,86%";
"28.6.2011;62.303;1,77%";
"28.6.2010;64.225;-0,92%";
"28.6.2007;54.147;0,01%";
"28.6.2006;34.835;1,34%";
"28.6.2005;25.261;0,14%";
